,Average,Minimum,Maximum,Date,Month,Year
52,28.560000000000002,25.44,33.120000000000005,22.0,2.0,1901.0
53,24.44,22.07,26.880000000000003,23.0,2.0,1901.0
54,26.83,24.02,30.659999999999997,24.0,2.0,1901.0
55,28.509999999999998,26.299999999999997,31.019999999999996,25.0,2.0,1901.0
56,24.35,22.16,28.700000000000003,26.0,2.0,1901.0
57,25.57,23.3,31.14,27.0,2.0,1901.0
58,25.22,23.23,29.439999999999998,28.0,2.0,1901.0
59,32.64,29.82,38.28,1.0,3.0,1901.0
60,30.88,29.41,35.76,2.0,3.0,1901.0
61,33.85,29.91,36.7,3.0,3.0,1901.0
62,31.1,29.790000000000003,34.2,4.0,3.0,1901.0
63,32.07,28.66,37.14,5.0,3.0,1901.0
64,29.37,28.35,32.74,6.0,3.0,1901.0
65,33.82,32.37,37.64,7.0,3.0,1901.0
66,32.99,30.5,35.980000000000004,8.0,3.0,1901.0
67,33.33,30.49,38.66,9.0,3.0,1901.0
68,30.98,28.71,34.96,10.0,3.0,1901.0
69,28.78,25.6,31.560000000000002,11.0,3.0,1901.0
70,31.34,27.39,34.68,12.0,3.0,1901.0
71,29.19,26.8,33.38,13.0,3.0,1901.0
72,31.43,29.75,36.86,14.0,3.0,1901.0
73,29.49,25.799999999999997,34.98,15.0,3.0,1901.0
74,29.55,25.75,34.1,16.0,3.0,1901.0
75,30.57,27.72,36.14,17.0,3.0,1901.0
76,29.5,25.990000000000002,33.0,18.0,3.0,1901.0
77,29.26,26.01,31.520000000000003,19.0,3.0,1901.0
78,32.72,29.15,36.44,20.0,3.0,1901.0
79,28.38,26.25,32.76,21.0,3.0,1901.0
80,31.55,29.740000000000002,36.1,22.0,3.0,1901.0
81,29.48,26.45,34.96,23.0,3.0,1901.0
82,29.96,28.71,32.92,24.0,3.0,1901.0
83,28.94,25.900000000000002,32.88,25.0,3.0,1901.0
84,33.44,31.45,37.879999999999995,26.0,3.0,1901.0
85,31.38,27.7,34.76,27.0,3.0,1901.0
86,29.65,28.52,33.3,28.0,3.0,1901.0
87,31.740000000000002,30.6,35.480000000000004,29.0,3.0,1901.0
88,28.02,25.27,33.04,30.0,3.0,1901.0
89,30.98,27.2,35.96,31.0,3.0,1901.0
90,33.83,30.459999999999997,38.66,1.0,4.0,1901.0
91,35.87,33.25,40.739999999999995,2.0,4.0,1901.0
92,30.82,27.7,35.64,3.0,4.0,1901.0
93,34.89,33.81,40.78,4.0,4.0,1901.0
94,34.41,32.5,36.81999999999999,5.0,4.0,1901.0
95,33.69,30.88,36.379999999999995,6.0,4.0,1901.0
96,32.94,30.729999999999997,38.879999999999995,7.0,4.0,1901.0
97,31.39,28.47,36.78,8.0,4.0,1901.0
98,34.45,31.860000000000003,38.900000000000006,9.0,4.0,1901.0
99,35.3,33.349999999999994,38.599999999999994,10.0,4.0,1901.0
100,32.09,29.270000000000003,35.18000000000001,11.0,4.0,1901.0
101,30.63,26.71,36.26,12.0,4.0,1901.0
102,32.13,29.900000000000002,35.260000000000005,13.0,4.0,1901.0
103,30.88,28.15,33.76,14.0,4.0,1901.0
104,32.9,29.88,36.8,15.0,4.0,1901.0
105,31.9,29.919999999999998,35.8,16.0,4.0,1901.0
106,34.71,33.620000000000005,38.42,17.0,4.0,1901.0
107,32.38,30.550000000000004,35.760000000000005,18.0,4.0,1901.0
108,34.16,31.169999999999995,36.31999999999999,19.0,4.0,1901.0
109,34.58,31.349999999999998,38.16,20.0,4.0,1901.0
110,32.12,28.86,35.239999999999995,21.0,4.0,1901.0
111,33.32,32.22,36.64,22.0,4.0,1901.0
112,34.13,31.040000000000003,39.260000000000005,23.0,4.0,1901.0
113,35.43,32.71,39.86,24.0,4.0,1901.0
114,35.21,31.380000000000003,37.42,25.0,4.0,1901.0
115,33.21,31.29,38.42,26.0,4.0,1901.0
116,31.45,27.61,35.9,27.0,4.0,1901.0
117,31.65,29.14,35.3,28.0,4.0,1901.0
118,35.76,34.43,40.519999999999996,29.0,4.0,1901.0
119,32.81,31.160000000000004,38.620000000000005,30.0,4.0,1901.0
120,35.65,31.99,41.3,1.0,5.0,1901.0
121,33.89,31.28,37.78,2.0,5.0,1901.0
122,37.4,35.39,41.8,3.0,5.0,1901.0
123,33.76,31.759999999999998,39.519999999999996,4.0,5.0,1901.0
124,37.92,35.190000000000005,43.84,5.0,5.0,1901.0
125,32.68,31.009999999999998,38.36,6.0,5.0,1901.0
126,32.77,30.490000000000002,36.540000000000006,7.0,5.0,1901.0
127,35.4,33.28,39.8,8.0,5.0,1901.0
128,37.44,36.239999999999995,40.879999999999995,9.0,5.0,1901.0
129,37.45,34.480000000000004,41.900000000000006,10.0,5.0,1901.0
130,34.29,31.13,38.58,11.0,5.0,1901.0
131,33.66,30.929999999999996,36.31999999999999,12.0,5.0,1901.0
132,35.37,32.19,39.739999999999995,13.0,5.0,1901.0
133,34.37,32.04,39.739999999999995,14.0,5.0,1901.0
134,32.89,30.740000000000002,35.78,15.0,5.0,1901.0
135,34.67,32.52,39.34,16.0,5.0,1901.0
136,35.08,33.71,37.16,17.0,5.0,1901.0
137,35.54,32.83,41.08,18.0,5.0,1901.0
138,32.29,31.13,35.58,19.0,5.0,1901.0
139,36.01,34.089999999999996,38.019999999999996,20.0,5.0,1901.0
140,36.67,33.08,42.34,21.0,5.0,1901.0
141,37.269999999999996,36.169999999999995,42.53999999999999,22.0,5.0,1901.0
142,35.59,31.970000000000002,39.18000000000001,23.0,5.0,1901.0
143,34.68,32.67,37.36,24.0,5.0,1901.0
144,34.2,31.480000000000004,37.400000000000006,25.0,5.0,1901.0
145,36.23,33.98,38.459999999999994,26.0,5.0,1901.0
146,36.01,33.0,39.019999999999996,27.0,5.0,1901.0
147,37.65,35.58,42.3,28.0,5.0,1901.0
148,37.79,34.58,42.58,29.0,5.0,1901.0
149,32.46,29.93,34.92,30.0,5.0,1901.0
150,36.8,33.989999999999995,40.599999999999994,31.0,5.0,1901.0
151,37.08,35.14,41.16,1.0,6.0,1901.0
152,34.13,32.85,37.260000000000005,2.0,6.0,1901.0
153,36.9,33.81,42.8,3.0,6.0,1901.0
154,36.42,35.22,40.84,4.0,6.0,1901.0
155,32.25,30.33,35.5,5.0,6.0,1901.0
156,36.66,33.13999999999999,39.31999999999999,6.0,6.0,1901.0
157,33.71,30.8,39.42,7.0,6.0,1901.0
158,32.35,28.970000000000002,37.7,8.0,6.0,1901.0
159,36.3,33.83,39.599999999999994,9.0,6.0,1901.0
160,34.35,32.25,38.7,10.0,6.0,1901.0
161,36.59,32.86000000000001,39.18000000000001,11.0,6.0,1901.0
162,32.02,30.440000000000005,37.040000000000006,12.0,6.0,1901.0
163,37.29,35.6,42.58,13.0,6.0,1901.0
164,37.26,35.309999999999995,40.519999999999996,14.0,6.0,1901.0
165,33.19,31.319999999999997,38.379999999999995,15.0,6.0,1901.0
166,32.39,29.92,37.78,16.0,6.0,1901.0
167,33.5,31.21,38.0,17.0,6.0,1901.0
168,36.46,34.47,41.92,18.0,6.0,1901.0
169,36.14,33.96,40.28,19.0,6.0,1901.0
170,34.79,31.93,40.58,20.0,6.0,1901.0
171,34.88,31.450000000000003,37.760000000000005,21.0,6.0,1901.0
172,36.55,33.98,39.099999999999994,22.0,6.0,1901.0
173,34.4,30.64,36.8,23.0,6.0,1901.0
174,33.33,31.439999999999998,38.66,24.0,6.0,1901.0
175,35.78,34.06,39.56,25.0,6.0,1901.0
176,33.6,30.69,36.2,26.0,6.0,1901.0
177,35.15,32.75,38.3,27.0,6.0,1901.0
178,33.41,29.789999999999996,37.81999999999999,28.0,6.0,1901.0
179,37.4,34.37,41.8,29.0,6.0,1901.0
180,34.46,31.73,39.92,30.0,6.0,1901.0
181,31.37,29.830000000000002,35.74,1.0,7.0,1901.0
182,35.61,32.22,41.22,2.0,7.0,1901.0
183,34.62,31.36,40.239999999999995,3.0,7.0,1901.0
184,30.6,27.1,35.2,4.0,7.0,1901.0
185,35.36,32.92,39.72,5.0,7.0,1901.0
186,32.51,30.839999999999996,38.019999999999996,6.0,7.0,1901.0
187,35.88,32.07,39.760000000000005,7.0,7.0,1901.0
188,34.99,32.410000000000004,37.980000000000004,8.0,7.0,1901.0
189,34.51,32.21,39.019999999999996,9.0,7.0,1901.0
190,35.09,32.120000000000005,38.18000000000001,10.0,7.0,1901.0
191,32.26,29.349999999999998,37.519999999999996,11.0,7.0,1901.0
192,35.95,32.970000000000006,38.900000000000006,12.0,7.0,1901.0
193,30.31,28.34,34.62,13.0,7.0,1901.0
194,32.39,29.560000000000002,34.78,14.0,7.0,1901.0
195,35.58,33.73,38.16,15.0,7.0,1901.0
196,31.74,30.159999999999997,36.48,16.0,7.0,1901.0
197,32.34,30.690000000000005,34.68000000000001,17.0,7.0,1901.0
198,32.29,30.89,37.58,18.0,7.0,1901.0
199,30.94,29.1,34.88,19.0,7.0,1901.0
200,30.07,29.01,33.14,20.0,7.0,1901.0
201,35.58,32.839999999999996,39.16,21.0,7.0,1901.0
202,33.65,30.04,37.3,22.0,7.0,1901.0
203,34.53,32.230000000000004,38.06,23.0,7.0,1901.0
204,31.97,30.57,35.94,24.0,7.0,1901.0
205,35.34,32.77,37.68000000000001,25.0,7.0,1901.0
206,34.17,32.93,38.34,26.0,7.0,1901.0
207,35.41,31.739999999999995,38.81999999999999,27.0,7.0,1901.0
208,34.24,32.56,37.480000000000004,28.0,7.0,1901.0
209,30.05,27.97,34.1,29.0,7.0,1901.0
210,31.5,28.33,36.0,30.0,7.0,1901.0
211,35.730000000000004,33.160000000000004,39.46,31.0,7.0,1901.0
212,31.05,28.18,35.1,1.0,8.0,1901.0
213,32.33,30.459999999999997,37.66,2.0,8.0,1901.0
214,29.54,26.96,34.08,3.0,8.0,1901.0
215,29.17,26.92,31.340000000000003,4.0,8.0,1901.0
216,34.01,32.61,36.019999999999996,5.0,8.0,1901.0
217,34.63,32.99,37.260000000000005,6.0,8.0,1901.0
218,32.06,29.51,35.120000000000005,7.0,8.0,1901.0
219,31.75,30.18,36.5,8.0,8.0,1901.0
220,29.32,26.51,33.64,9.0,8.0,1901.0
221,32.89,31.73,36.78,10.0,8.0,1901.0
222,34.74,32.77,37.480000000000004,11.0,8.0,1901.0
223,30.25,27.18,34.5,12.0,8.0,1901.0
224,29.57,27.86,32.14,13.0,8.0,1901.0
225,31.26,28.270000000000003,36.52,14.0,8.0,1901.0
226,29.46,28.09,34.92,15.0,8.0,1901.0
227,34.12,32.879999999999995,38.239999999999995,16.0,8.0,1901.0
228,31.05,30.04,35.1,17.0,8.0,1901.0
229,33.81,29.990000000000002,36.620000000000005,18.0,8.0,1901.0
230,34.87,33.57,37.739999999999995,19.0,8.0,1901.0
231,32.64,29.080000000000002,35.28,20.0,8.0,1901.0
232,32.79,30.439999999999998,37.58,21.0,8.0,1901.0
233,33.71,32.38,37.42,22.0,8.0,1901.0
234,31.52,27.54,35.04,23.0,8.0,1901.0
235,34.33,32.75,38.66,24.0,8.0,1901.0
236,30.2,28.88,35.4,25.0,8.0,1901.0
237,33.52,30.490000000000002,37.040000000000006,26.0,8.0,1901.0
238,29.69,27.92,35.38,27.0,8.0,1901.0
239,33.53,31.400000000000002,39.06,28.0,8.0,1901.0
240,34.56,33.32,39.120000000000005,29.0,8.0,1901.0
241,32.07,29.96,35.14,30.0,8.0,1901.0
242,32.06,30.430000000000003,36.120000000000005,31.0,8.0,1901.0
243,33.68,32.21,36.36,1.0,9.0,1901.0
244,34.3,33.18,37.599999999999994,2.0,9.0,1901.0
245,33.59,30.540000000000003,39.18000000000001,3.0,9.0,1901.0
246,32.39,29.73,35.78,4.0,9.0,1901.0
247,32.29,29.86,34.58,5.0,9.0,1901.0
248,33.55,32.44,36.099999999999994,6.0,9.0,1901.0
249,29.32,26.76,33.64,7.0,9.0,1901.0
250,32.85,29.900000000000002,36.7,8.0,9.0,1901.0
251,30.87,29.79,36.74,9.0,9.0,1901.0
252,34.11,30.14,36.22,10.0,9.0,1901.0
253,30.55,29.04,33.1,11.0,9.0,1901.0
254,33.35,30.91,37.7,12.0,9.0,1901.0
255,31.89,27.92,34.78,13.0,9.0,1901.0
256,31.15,27.72,36.3,14.0,9.0,1901.0
257,33.9,32.48,36.8,15.0,9.0,1901.0
258,31.08,29.759999999999998,35.16,16.0,9.0,1901.0
259,31.17,28.73,34.34,17.0,9.0,1901.0
260,31.39,29.85,36.78,18.0,9.0,1901.0
261,32.26,28.549999999999997,36.519999999999996,19.0,9.0,1901.0
262,33.64,30.64,39.28,20.0,9.0,1901.0
263,32.56,29.130000000000003,37.120000000000005,21.0,9.0,1901.0
264,34.45,32.31,37.900000000000006,22.0,9.0,1901.0
265,31.14,28.45,33.28,23.0,9.0,1901.0
266,31.95,28.119999999999997,35.9,24.0,9.0,1901.0
267,30.58,27.619999999999997,34.16,25.0,9.0,1901.0
268,34.63,33.300000000000004,40.260000000000005,26.0,9.0,1901.0
269,33.46,29.51,36.92,27.0,9.0,1901.0
270,33.67,31.28,37.34,28.0,9.0,1901.0
271,32.15,28.659999999999997,36.3,29.0,9.0,1901.0
272,29.64,26.240000000000002,35.28,30.0,9.0,1901.0
273,28.98,25.91,31.96,1.0,10.0,1901.0
274,32.65,30.009999999999998,36.3,2.0,10.0,1901.0
275,32.41,29.9,36.81999999999999,3.0,10.0,1901.0
276,32.48,29.979999999999997,36.959999999999994,4.0,10.0,1901.0
277,29.19,25.840000000000003,32.38,5.0,10.0,1901.0
278,32.84,31.130000000000003,37.68000000000001,6.0,10.0,1901.0
279,28.96,25.84,32.92,7.0,10.0,1901.0
280,29.4,26.13,33.8,8.0,10.0,1901.0
281,33.29,29.98,35.58,9.0,10.0,1901.0
282,31.28,29.490000000000002,35.56,10.0,10.0,1901.0
283,31.12,27.450000000000003,35.24,11.0,10.0,1901.0
284,31.71,28.310000000000002,37.42,12.0,10.0,1901.0
285,29.86,27.41,32.72,13.0,10.0,1901.0
286,31.31,28.31,35.62,14.0,10.0,1901.0
287,31.75,29.87,36.5,15.0,10.0,1901.0
288,30.32,28.87,33.64,16.0,10.0,1901.0
289,30.24,29.15,32.48,17.0,10.0,1901.0
290,28.16,25.11,31.32,18.0,10.0,1901.0
291,31.77,28.84,34.54,19.0,10.0,1901.0
292,29.21,25.41,31.42,20.0,10.0,1901.0
293,30.72,26.72,34.44,21.0,10.0,1901.0
294,28.61,26.939999999999998,34.22,22.0,10.0,1901.0
295,33.54,29.689999999999998,39.08,23.0,10.0,1901.0
296,33.83,29.97,39.66,24.0,10.0,1901.0
297,31.05,28.68,34.1,25.0,10.0,1901.0
298,29.31,25.61,31.619999999999997,26.0,10.0,1901.0
299,28.18,26.48,31.36,27.0,10.0,1901.0
300,31.259999999999998,30.22,34.519999999999996,28.0,10.0,1901.0
301,32.77,31.480000000000004,36.540000000000006,29.0,10.0,1901.0
302,31.92,29.630000000000003,34.84,30.0,10.0,1901.0
303,32.4,30.639999999999997,35.8,31.0,10.0,1901.0
304,27.12,25.84,30.240000000000002,1.0,11.0,1901.0
305,26.68,25.21,31.36,2.0,11.0,1901.0
306,29.67,26.330000000000002,32.34,3.0,11.0,1901.0
307,27.58,26.27,31.159999999999997,4.0,11.0,1901.0
308,27.63,24.46,33.26,5.0,11.0,1901.0
309,29.28,27.21,31.560000000000002,6.0,11.0,1901.0
310,27.67,24.62,30.340000000000003,7.0,11.0,1901.0
311,30.37,27.3,35.74,8.0,11.0,1901.0
312,27.88,25.65,30.759999999999998,9.0,11.0,1901.0
313,29.67,27.19,34.34,10.0,11.0,1901.0
314,29.06,26.349999999999998,33.12,11.0,11.0,1901.0
315,26.81,25.459999999999997,31.619999999999997,12.0,11.0,1901.0
316,30.78,26.91,36.56,13.0,11.0,1901.0
317,29.84,26.02,33.68,14.0,11.0,1901.0
318,30.54,26.64,36.08,15.0,11.0,1901.0
319,27.8,25.2,31.6,16.0,11.0,1901.0
320,26.0,24.62,31.0,17.0,11.0,1901.0
321,28.43,24.57,30.86,18.0,11.0,1901.0
322,27.66,24.73,31.32,19.0,11.0,1901.0
323,29.62,26.59,35.24,20.0,11.0,1901.0
324,26.16,22.54,31.32,21.0,11.0,1901.0
325,26.51,23.0,32.02,22.0,11.0,1901.0
326,30.17,28.69,35.34,23.0,11.0,1901.0
327,26.15,23.81,30.299999999999997,24.0,11.0,1901.0
328,30.06,28.08,35.12,25.0,11.0,1901.0
329,28.39,25.48,31.78,26.0,11.0,1901.0
330,26.1,22.8,28.200000000000003,27.0,11.0,1901.0
331,27.24,24.009999999999998,31.479999999999997,28.0,11.0,1901.0
332,29.41,27.89,34.82,29.0,11.0,1901.0
333,26.8,24.05,32.6,30.0,11.0,1901.0
334,24.33,21.709999999999997,28.659999999999997,1.0,12.0,1901.0
335,23.59,21.06,28.18,2.0,12.0,1901.0
336,25.96,24.27,29.92,3.0,12.0,1901.0
337,25.48,23.580000000000002,28.96,4.0,12.0,1901.0
338,28.14,24.71,31.28,5.0,12.0,1901.0
339,24.61,21.77,29.22,6.0,12.0,1901.0
340,27.5,25.95,32.0,7.0,12.0,1901.0
341,23.32,19.41,28.64,8.0,12.0,1901.0
342,25.14,24.04,30.28,9.0,12.0,1901.0
343,24.76,21.21,27.520000000000003,10.0,12.0,1901.0
344,23.21,19.29,27.42,11.0,12.0,1901.0
345,25.57,21.740000000000002,28.14,12.0,12.0,1901.0
346,28.69,26.150000000000002,34.38,13.0,12.0,1901.0
347,23.18,20.05,28.36,14.0,12.0,1901.0
348,24.91,21.43,30.82,15.0,12.0,1901.0
349,28.52,25.16,33.04,16.0,12.0,1901.0
350,24.68,21.7,27.36,17.0,12.0,1901.0
351,25.97,23.02,29.939999999999998,18.0,12.0,1901.0
352,24.09,22.77,28.18,19.0,12.0,1901.0
353,27.83,25.2,30.659999999999997,20.0,12.0,1901.0
354,26.06,22.54,29.119999999999997,21.0,12.0,1901.0
355,23.4,19.54,26.799999999999997,22.0,12.0,1901.0
356,28.36,26.419999999999998,33.72,23.0,12.0,1901.0
357,23.21,19.96,27.42,24.0,12.0,1901.0
358,26.04,24.11,31.08,25.0,12.0,1901.0
359,27.17,23.32,31.340000000000003,26.0,12.0,1901.0
360,28.48,25.87,31.96,27.0,12.0,1901.0
361,26.06,22.54,30.119999999999997,28.0,12.0,1901.0
362,23.63,19.68,27.259999999999998,29.0,12.0,1901.0
363,27.240000000000002,23.44,29.480000000000004,30.0,12.0,1901.0
364,28.45,25.96,32.9,31.0,12.0,1901.0
0,24.59,21.35,30.18,1.0,1.0,1902.0
1,25.85,22.53,29.700000000000003,2.0,1.0,1902.0
2,24.74,23.57,28.479999999999997,3.0,1.0,1902.0
3,24.36,23.22,26.72,4.0,1.0,1902.0
4,24.6,21.89,28.200000000000003,5.0,1.0,1902.0
5,28.78,25.71,31.560000000000002,6.0,1.0,1902.0
6,26.38,23.45,28.759999999999998,7.0,1.0,1902.0
7,24.17,20.660000000000004,26.340000000000003,8.0,1.0,1902.0
8,25.5,23.85,28.0,9.0,1.0,1902.0
9,26.33,24.209999999999997,28.659999999999997,10.0,1.0,1902.0
10,23.2,19.95,25.4,11.0,1.0,1902.0
11,24.17,20.700000000000003,26.340000000000003,12.0,1.0,1902.0
12,25.45,23.16,28.9,13.0,1.0,1902.0
13,27.93,25.21,33.86,14.0,1.0,1902.0
14,23.31,20.58,25.619999999999997,15.0,1.0,1902.0
15,24.12,21.580000000000002,29.240000000000002,16.0,1.0,1902.0
16,28.04,24.88,31.08,17.0,1.0,1902.0
17,25.62,22.630000000000003,28.240000000000002,18.0,1.0,1902.0
18,23.29,21.58,27.58,19.0,1.0,1902.0
19,28.89,25.39,32.78,20.0,1.0,1902.0
20,23.72,20.91,27.439999999999998,21.0,1.0,1902.0
21,28.96,25.57,34.92,22.0,1.0,1902.0
22,24.48,21.68,26.96,23.0,1.0,1902.0
23,23.02,21.91,25.04,24.0,1.0,1902.0
24,27.78,26.740000000000002,32.56,25.0,1.0,1902.0
25,27.95,25.97,31.9,26.0,1.0,1902.0
26,25.64,23.78,31.28,27.0,1.0,1902.0
27,28.65,27.15,34.3,28.0,1.0,1902.0
28,26.759999999999998,24.729999999999997,31.519999999999996,29.0,1.0,1902.0
29,27.68,25.43,32.36,30.0,1.0,1902.0
30,23.9,20.63,28.799999999999997,31.0,1.0,1902.0
31,29.34,25.84,33.68,1.0,2.0,1902.0
32,25.63,22.689999999999998,30.259999999999998,2.0,2.0,1902.0
33,26.41,23.82,28.82,3.0,2.0,1902.0
34,28.69,25.880000000000003,34.38,4.0,2.0,1902.0
35,29.35,27.32,33.7,5.0,2.0,1902.0
36,28.46,26.85,30.92,6.0,2.0,1902.0
37,25.95,22.08,30.9,7.0,2.0,1902.0
38,26.57,22.93,31.14,8.0,2.0,1902.0
39,30.41,28.76,33.82,9.0,2.0,1902.0
40,25.96,22.740000000000002,31.92,10.0,2.0,1902.0
41,26.15,22.459999999999997,29.299999999999997,11.0,2.0,1902.0
42,28.69,24.69,34.38,12.0,2.0,1902.0
43,30.92,29.41,36.84,13.0,2.0,1902.0
44,26.31,23.09,29.619999999999997,14.0,2.0,1902.0
45,26.44,24.1,30.880000000000003,15.0,2.0,1902.0
46,28.6,27.020000000000003,34.2,16.0,2.0,1902.0
47,25.09,23.43,30.18,17.0,2.0,1902.0
48,29.98,27.26,32.96,18.0,2.0,1902.0
49,27.72,25.88,30.439999999999998,19.0,2.0,1902.0
50,26.76,24.740000000000002,30.520000000000003,20.0,2.0,1902.0
51,27.55,25.55,32.1,21.0,2.0,1902.0
52,29.84,27.04,33.68,22.0,2.0,1902.0
53,28.04,24.299999999999997,31.08,23.0,2.0,1902.0
54,25.14,21.490000000000002,29.28,24.0,2.0,1902.0
55,26.86,25.16,32.72,25.0,2.0,1902.0
56,30.64,26.86,35.28,26.0,2.0,1902.0
57,29.93,27.63,34.86,27.0,2.0,1902.0
58,29.02,25.74,33.04,28.0,2.0,1902.0
59,33.63,31.790000000000003,39.260000000000005,1.0,3.0,1902.0
60,32.14,30.82,35.28,2.0,3.0,1902.0
61,28.31,25.41,33.62,3.0,3.0,1902.0
62,33.42,31.32,37.84,4.0,3.0,1902.0
63,32.68,31.15,35.36,5.0,3.0,1902.0
64,33.1,29.270000000000003,35.2,6.0,3.0,1902.0
65,31.21,30.07,36.42,7.0,3.0,1902.0
66,31.78,30.19,34.56,8.0,3.0,1902.0
67,28.78,25.76,34.56,9.0,3.0,1902.0
68,29.95,27.669999999999998,34.9,10.0,3.0,1902.0
69,33.63,32.370000000000005,38.260000000000005,11.0,3.0,1902.0
70,29.69,27.330000000000002,34.38,12.0,3.0,1902.0
71,28.18,25.22,33.36,13.0,3.0,1902.0
72,29.54,28.21,33.08,14.0,3.0,1902.0
73,31.14,27.560000000000002,34.28,15.0,3.0,1902.0
74,32.11,28.99,34.22,16.0,3.0,1902.0
75,33.24,32.13,35.480000000000004,17.0,3.0,1902.0
76,30.59,27.34,34.18,18.0,3.0,1902.0
77,31.85,29.700000000000003,37.7,19.0,3.0,1902.0
78,31.41,29.38,33.82,20.0,3.0,1902.0
79,29.33,28.13,32.66,21.0,3.0,1902.0
80,29.74,26.549999999999997,32.48,22.0,3.0,1902.0
81,29.89,27.41,32.78,23.0,3.0,1902.0
82,32.27,29.050000000000004,37.540000000000006,24.0,3.0,1902.0
83,33.75,31.34,36.5,25.0,3.0,1902.0
84,30.15,29.06,34.3,26.0,3.0,1902.0
85,32.05,28.83,34.099999999999994,27.0,3.0,1902.0
86,33.71,30.87,38.42,28.0,3.0,1902.0
87,30.07,27.94,34.14,29.0,3.0,1902.0
88,33.91,31.849999999999998,39.81999999999999,30.0,3.0,1902.0
89,31.86,30.75,34.72,31.0,3.0,1902.0
90,35.92,34.300000000000004,41.84,1.0,4.0,1902.0
91,33.47,29.64,38.94,2.0,4.0,1902.0
92,35.480000000000004,33.14,37.96,3.0,4.0,1902.0
93,31.52,28.759999999999998,37.04,4.0,4.0,1902.0
94,30.22,28.24,34.44,5.0,4.0,1902.0
95,33.44,30.259999999999998,36.879999999999995,6.0,4.0,1902.0
96,32.19,28.669999999999998,34.379999999999995,7.0,4.0,1902.0
97,32.46,28.53,35.92,8.0,4.0,1902.0
98,34.24,30.590000000000003,36.480000000000004,9.0,4.0,1902.0
99,33.32,30.6,38.64,10.0,4.0,1902.0
100,32.5,29.44,37.0,11.0,4.0,1902.0
101,32.33,30.36,37.66,12.0,4.0,1902.0
102,31.92,27.96,35.84,13.0,4.0,1902.0
103,32.19,28.43,36.379999999999995,14.0,4.0,1902.0
104,34.08,31.49,38.16,15.0,4.0,1902.0
105,31.96,30.09,36.92,16.0,4.0,1902.0
